,location,city,country,unit,latitude,longitude,co,no2,o3,pm10,pm25,so2
99,"Phase-1 GIDC, Vapi - GPCB",Vapi,IN,µg/m³,20.362420999999998,72.918013,383.3333333333333,2.991666666666666,0.5583333333333335,14.483333333333334,20.133333333333333,8.916666666666666
100,"Phase-4 GIDC, Vatva - GPCB",Vatva,IN,µg/m³,22.969610999999997,72.6435,460.0,6.634166666666665,2.9000000000000004,104.83749999999998,24.14333333333333,1.0191666666666668
101,"Pimpleshwar Mandir, Thane - MPCB",Thane,IN,µg/m³,19.192056,72.9585188,993.3333333333334,28.988333333333333,1.6283333333333332,14.479999999999999,,9.919166666666667
102,"Plammoodu, Thiruvananthapuram - Kerala PCB",Thiruvananthapuram,IN,µg/m³,8.514909300000001,76.94358790000001,571.6666666666666,0.425,19.158333333333335,15.0,,0.21666666666666667
103,"Police Commissionerate, Jaipur - RSPCB",Jaipur,IN,µg/m³,26.9164092,75.7994901,353.3333333333333,11.807777777777776,16.811111111111114,130.66222222222223,59.53666666666667,12.541111111111112
104,"Police Lines, Jind - HSPCB",Jind,IN,µg/m³,29.307814,76.33761899999999,457.5,10.18,18.272499999999997,65.52499999999999,44.56833333333333,2.5616666666666665
105,"Powai, Mumbai - MPCB",Mumbai,IN,µg/m³,19.1375,72.915056,608.3333333333334,0.0,1.4966666666666668,29.1525,14.668333333333335,5.4191666666666665
106,"Punjabi Bagh, Delhi - DPCC",Delhi,IN,µg/m³,28.563261999999998,77.186937,1885.7142857142858,41.1,8.157142857142857,100.14285714285714,50.714285714285715,8.171428571428573
107,"Pusa, Delhi - DPCC",Delhi,IN,µg/m³,28.639645,77.146262,1350.0,15.99,13.5,,,11.959999999999999
108,"Pusa, Delhi - IMD",Delhi,IN,µg/m³,28.639645,77.146263,920.0,20.573076923076922,15.237692307692306,50.06307692307693,33.36615384615385,
109,"R K Puram, Delhi - DPCC",Delhi,IN,µg/m³,28.674045,77.131023,1716.6666666666667,25.71666666666667,27.083333333333332,92.5,47.8,3.9166666666666665
110,"RIICO Ind. Area III, Bhiwadi - RSPCB",Bhiwadi,IN,µg/m³,28.194909000000003,76.862296,545.4545454545455,21.346666666666664,11.81909090909091,109.98636363636363,55.929090909090924,6.107500000000001
111,"RIMT University, Mandi Gobindgarh - PPCB",Mandi Gobindgarh,IN,µg/m³,30.649960999999998,76.33144200000001,659.1666666666666,0.0,11.184166666666668,150.91833333333332,65.33000000000001,14.716666666666667
112,"Rabindra Sarobar, Kolkata - WBPCB",Kolkata,IN,µg/m³,22.51106,88.35141999999999,52.72727272727273,6.510909090909089,23.104545454545455,24.020909090909086,9.828181818181818,2.777272727272727
113,"Railway Colony, Guwahati - APCB",Guwahati,IN,µg/m³,26.1445,91.7362,338.3333333333333,4.5183333333333335,16.86,41.402499999999996,25.1975,12.86
114,"Ratanpura, Rupnagar - Ambuja Cements",Rupnagar,IN,µg/m³,31.032545399999997,76.56230459999999,386.6666666666667,6.625,,79.90416666666668,39.77166666666667,7.034166666666667
115,"Rishi Nagar, Kaithal - HSPCB",Kaithal,IN,µg/m³,29.8006,76.4155,590.0,4.371666666666667,13.520833333333334,52.214166666666664,23.94333333333333,10.22
