,Review Text,Review Date,Star Ratings,Review Website,Brand Name
217,"I have purchased KIA Seltos HTK Petrol last month, and I am fully satisfied with the my Seltos. The overall performance of the car is amazing in terms of driving experience, infotainment system, build and at last the mileage of Kia Seltos. I have almost driven 1700 KM and average coming 15KMPL in the city, and goes 20KMPL on highways. So, I am high...Read More","On: Nov 29, 2019 | 54 Views",,www.cardekho.com,Kia Seltos
218,"The design of this car is very nice. Bose speakers are of nice quality and the sound is excellent, sunroof is an add on with very nice alloys in the top model. ","Expected Launch: Jan 01, 2020",,www.cardekho.com,Kia Seltos
219,Kia Seltos is one of the good specific SUV in economic range of budget. It is a more functional car compared to other cars.,"Expected Launch: Jun 01, 2020",,www.cardekho.com,Kia Seltos
220,It's a great car with excellent features. Looks are also awesome. All accessories are comfortable and safe.,"Expected Launch: Dec 01, 2021",for GTX Plus,www.cardekho.com,Kia Seltos
221,This car is very good. Fully loaded with all features and comfort. The space is excellent. This car looks like a high-level car. I referred to all to take the test drive and share your experience. The car is very safe and very solid. Read More,"Expected Launch: Jun 01, 2020",,www.cardekho.com,Kia Seltos
222,"Yes, the HTX variants of Kia Seltos has music system installed in it.","Expected Launch: Oct 15, 2020",,www.cardekho.com,Kia Seltos
223,It's a wonderful car. All features are good and you will feel like a plane. I am very satisfied with this car. It runs very smoothly without any bounces on off-roads. The driving experience is awesome. Read More,"On: Nov 28, 2019 | 110 Views",,www.cardekho.com,Kia Seltos
224,Perfect car in this price range. Not a single car in this price range has ventilated seats. BOSE speakers are awesome too.,"On: Nov 28, 2019 | 53 Views",,www.cardekho.com,Kia Seltos
225,Best under in this segment. The handling is superb and features are top end. The exterior looks very impressive and the interior is also rich in class. I must prefer this car in the place of other cars under this range. The seats are best in class and luxurious. This is my first car and I am happy with it. Read More,"On: Nov 27, 2019 | 886 Views",,www.cardekho.com,Kia Seltos
226,"I think it the best SUV ever launched, value for money, attractive colors, full options and good mileage than other cars.","On: Nov 28, 2019 | 50 Views",,www.cardekho.com,Kia Seltos
227,"Very nice car, powerful engine, looks very stylish among all cars and its a new concept car.","On: Nov 28, 2019 | 44 Views",,www.cardekho.com,Kia Seltos
228,"I have Kia Seltos GTX Plus in red color. It has awesome looks, superb interiors, a good loud music system and ample space.","On: Nov 28, 2019 | 179 Views",,www.cardekho.com,Kia Seltos
229,"Its drive is very smooth and comfortable. The car gives very good mileage. It is best in all its rivals. Its price is best compared to other cars according to looks and features. It is among the best cars in this segment. It can be compared to other luxurious cars in India. The car is excellent for off-roading, city drives and long drives with the ...Read More","On: Nov 28, 2019 | 45 Views",,www.cardekho.com,Kia Seltos
230,The front look (tiger-nose) is amazing. Riding quality is ok. The rear seat is comfortable and the connectivity is fine.,"On: Nov 28, 2019 | 47 Views",,www.cardekho.com,Kia Seltos
231,"As Kia is new to India, it is taking time for sales but it is superb in performance with stunning design for Indian roads, wonderful interior and reliving mileage so its a perfect SUV. Read More","On: Nov 27, 2019 | 56 Views",,www.cardekho.com,Kia Seltos
232,This Compact SUV is better than other cars. It is one of my favorite cars and a dream car. The car price is also affordable.,"On: Nov 27, 2019 | 282 Views",,www.cardekho.com,Kia Seltos
233,"The things that are most fascinating and important:- 1. Performance - The Kia Seltos has a very enthusiastic approach to the driving experience. The GT line never lets you down at any cost. 2. Driving experience - Driving experience of the Kia Seltos is absolutely a segment above or two. I have driven as well as had a ride in Audi a4, Mercedes Be...Read More","On: Nov 26, 2019 | 54 Views",,www.cardekho.com,Kia Seltos
234,"It is a car with a master body and a powerful engine The transmission is smooth and the parking position is super and tyres are super smooth and the seats are very good. It's not just a machine, it is the master of all machines and this is the first Kia car in India. One important thing is that the body design is fantastic and in night light visibi...Read More","On: Nov 26, 2019 | 2085 Views",,www.cardekho.com,Kia Seltos
235,"For a car, at this price, it is definitely a good deal. Got the automatic 1.4-liter Petrol variant and let me tell you it's a charm to drive this beauty. The gear shift is ever so smooth and linear power delivery makes it good to ride. Read More","On: Nov 27, 2019 | 112 Views",,www.cardekho.com,Kia Seltos
236,"I like the design of this car, it is unique and the key factor is the quality and overall features they provide. The features they provide are the ones that you see only in those high budget cars. Read More","On: Nov 27, 2019 | 48 Views",,www.cardekho.com,Kia Seltos
237,Really a great car that I want to buy. Especially Top-Spec GTI (DCT) version in which the performance of the engine is top-notch. The 10-inch Infosystem and 1.4 Litre turbocharged petrol engine with 140 BHP of power gives a performance of the luxury car and its features without spending 30 Lakhs go for it. Even DRL's design is looking phenomenal. Read More,"On: Nov 27, 2019 | 1229 Views",,www.cardekho.com,Kia Seltos
238,"Still, we have to see the Seltos performance but not bad and boot space is less and for less amount, the car gives more specification.","On: Nov 27, 2019 | 49 Views",,www.cardekho.com,Kia Seltos
239,"Feels like a luxury car. The car is awesome, they perform like a Kia. This car is best for a family.","On: Nov 26, 2019 | 434 Views",,www.cardekho.com,Kia Seltos
240,"Good, excellent car. This car is the best, the drive is very smooth and sounds like a good beast.","On: Nov 26, 2019 | 42 Views",,www.cardekho.com,Kia Seltos
241,"Very good SUV and nice look, nice design. Weldone KIA Seltos, good price quote in India and nice marketing, love this car.","On: Nov 26, 2019 | 45 Views",,www.cardekho.com,Kia Seltos
242,"Top model, great look, good features, good interior & exterior design. A superb car with satisfaction & reasonable price. It is a small car for middle-class people as it is a low budget car. Read More","On: Nov 26, 2019 | 43 Views",,www.cardekho.com,Kia Seltos
243,One of the best SUV sub 20L to have been launched in 2019. The top of the range GT has got all the tech and gadgets you can expect in an international model. If you compare it to any other SUV in its class its got the most bang for the buck and KIA has so many varients the price starts from 11L. So people from different walks of life can afford to ...Read More,"On: Nov 25, 2019 | 1575 Views",,www.cardekho.com,Kia Seltos
244,"Fully feature loaded car, best car I have experienced with a different design in the SUV segment, it gives a tough performance to other SUV cars like hyundai Creta, Tata Harrier and MG Hector and the best feature I saw in this segment is the heads up display, four disc brakes and smart air purifier which provides different fragnances with settings ...Read More","On: Nov 25, 2019 | 290 Views",,www.cardekho.com,Kia Seltos
